day,category,count
111,Localization Issues,0
112,Listening Related Issues,1
112,Content Quality Issues,1
112,Ads Related Issues,0
112,Coins Related Issues,0
112,Content Discovery Issues,0
112,User Experience Issues,0
112,Support & Service Issues,0
112,Localization Issues,0
114,User Experience Issues,2
114,Support & Service Issues,1
114,Ads Related Issues,0
114,Coins Related Issues,0
114,Content Discovery Issues,0
114,Listening Related Issues,0
114,Content Quality Issues,0
114,Localization Issues,0
115,Coins Related Issues,1
115,Listening Related Issues,1
115,Ads Related Issues,0
115,Content Discovery Issues,0
115,Content Quality Issues,0
115,User Experience Issues,0
115,Support & Service Issues,0
115,Localization Issues,0
116,Ads Related Issues,1
116,Coins Related Issues,0
116,Content Discovery Issues,0
116,Listening Related Issues,0
116,Content Quality Issues,0
116,User Experience Issues,0
116,Support & Service Issues,0
116,Localization Issues,0
117,Listening Related Issues,1
117,User Experience Issues,2
117,Coins Related Issues,2
117,Ads Related Issues,0
117,Content Discovery Issues,0
117,Content Quality Issues,0
117,Support & Service Issues,0
117,Localization Issues,0
119,Coins Related Issues,2
119,Ads Related Issues,0
119,Content Discovery Issues,0
119,Listening Related Issues,0
119,Content Quality Issues,0
119,User Experience Issues,0
119,Support & Service Issues,0
119,Localization Issues,0
122,Ads Related Issues,1
122,User Experience Issues,1
122,Coins Related Issues,0
122,Content Discovery Issues,0
122,Listening Related Issues,0
122,Content Quality Issues,0
122,Support & Service Issues,0
122,Localization Issues,0
123,User Experience Issues,1
123,Coins Related Issues,2
123,Support & Service Issues,2
123,Ads Related Issues,0
123,Content Discovery Issues,0
123,Listening Related Issues,0
123,Content Quality Issues,0
123,Localization Issues,0
125,User Experience Issues,1
125,Ads Related Issues,0
125,Coins Related Issues,0
125,Content Discovery Issues,0
125,Listening Related Issues,0
125,Content Quality Issues,0
125,Support & Service Issues,0
125,Localization Issues,0
126,Coins Related Issues,3
126,Listening Related Issues,1
126,Ads Related Issues,0
126,Content Discovery Issues,0
126,Content Quality Issues,0
126,User Experience Issues,0
126,Support & Service Issues,0
126,Localization Issues,0
128,Ads Related Issues,1
128,Listening Related Issues,1
128,Coins Related Issues,0
128,Content Discovery Issues,0
128,Content Quality Issues,0
128,User Experience Issues,0
128,Support & Service Issues,0
128,Localization Issues,0
130,Ads Related Issues,1
130,Listening Related Issues,1
130,Coins Related Issues,0
130,Content Discovery Issues,0
130,Content Quality Issues,0
130,User Experience Issues,0
130,Support & Service Issues,0
130,Localization Issues,0
131,Support & Service Issues,1
131,Ads Related Issues,0
131,Coins Related Issues,0
131,Content Discovery Issues,0
131,Listening Related Issues,0
131,Content Quality Issues,0
131,User Experience Issues,0
131,Localization Issues,0
132,Coins Related Issues,2
132,Content Quality Issues,1
132,Ads Related Issues,0
132,Content Discovery Issues,0
132,Listening Related Issues,0
132,User Experience Issues,0
132,Support & Service Issues,0
132,Localization Issues,0
133,Coins Related Issues,1
133,Support & Service Issues,3
133,Content Quality Issues,1
133,Ads Related Issues,0
133,Content Discovery Issues,0
133,Listening Related Issues,0
133,User Experience Issues,0
133,Localization Issues,0
134,Coins Related Issues,2
134,Support & Service Issues,1
134,Ads Related Issues,0
134,Content Discovery Issues,0
134,Listening Related Issues,0
134,Content Quality Issues,0
134,User Experience Issues,0
134,Localization Issues,0
135,Content Quality Issues,2
135,Ads Related Issues,0
135,Coins Related Issues,0
135,Content Discovery Issues,0
135,Listening Related Issues,0
135,User Experience Issues,0
135,Support & Service Issues,0
135,Localization Issues,0
136,Listening Related Issues,1
136,User Experience Issues,2
136,Coins Related Issues,1
136,Ads Related Issues,0
136,Content Discovery Issues,0
136,Content Quality Issues,0
136,Support & Service Issues,0
136,Localization Issues,0
138,Coins Related Issues,1
138,Ads Related Issues,0
138,Content Discovery Issues,0
138,Listening Related Issues,0
138,Content Quality Issues,0
138,User Experience Issues,0
138,Support & Service Issues,0
138,Localization Issues,0
140,Coins Related Issues,2
140,Ads Related Issues,0
140,Content Discovery Issues,0
140,Listening Related Issues,0
140,Content Quality Issues,0
140,User Experience Issues,0
140,Support & Service Issues,0
140,Localization Issues,0
145,User Experience Issues,1
145,Listening Related Issues,3
145,Ads Related Issues,0
145,Coins Related Issues,0
145,Content Discovery Issues,0
145,Content Quality Issues,0
145,Support & Service Issues,0
145,Localization Issues,0
146,Support & Service Issues,1
146,Ads Related Issues,0
146,Coins Related Issues,0
146,Content Discovery Issues,0
146,Listening Related Issues,0
146,Content Quality Issues,0
146,User Experience Issues,0
146,Localization Issues,0
147,User Experience Issues,1
147,Ads Related Issues,0
147,Coins Related Issues,0
147,Content Discovery Issues,0
147,Listening Related Issues,0
147,Content Quality Issues,0
147,Support & Service Issues,0
147,Localization Issues,0
152,Listening Related Issues,1
152,User Experience Issues,1
152,Ads Related Issues,0
152,Coins Related Issues,0
152,Content Discovery Issues,0
152,Content Quality Issues,0
152,Support & Service Issues,0
152,Localization Issues,0
153,Listening Related Issues,1
153,Ads Related Issues,0
153,Coins Related Issues,0
153,Content Discovery Issues,0
153,Content Quality Issues,0
153,User Experience Issues,0
153,Support & Service Issues,0
153,Localization Issues,0
155,User Experience Issues,1
155,Ads Related Issues,0
155,Coins Related Issues,0
155,Content Discovery Issues,0
155,Listening Related Issues,0
155,Content Quality Issues,0
155,Support & Service Issues,0
155,Localization Issues,0
157,Coins Related Issues,1
157,Ads Related Issues,0
157,Content Discovery Issues,0
157,Listening Related Issues,0
157,Content Quality Issues,0
157,User Experience Issues,0
157,Support & Service Issues,0
157,Localization Issues,0
158,User Experience Issues,1
158,Ads Related Issues,0
158,Coins Related Issues,0
158,Content Discovery Issues,0
158,Listening Related Issues,0
158,Content Quality Issues,0
158,Support & Service Issues,0
158,Localization Issues,0
159,Coins Related Issues,1
159,Ads Related Issues,0
159,Content Discovery Issues,0
159,Listening Related Issues,0
159,Content Quality Issues,0
159,User Experience Issues,0
159,Support & Service Issues,0
159,Localization Issues,0
161,Coins Related Issues,2
161,Ads Related Issues,0
161,Content Discovery Issues,0
161,Listening Related Issues,0
161,Content Quality Issues,0
161,User Experience Issues,0
161,Support & Service Issues,0
161,Localization Issues,0
162,Listening Related Issues,1
162,Ads Related Issues,0
162,Coins Related Issues,0
162,Content Discovery Issues,0
162,Content Quality Issues,0
162,User Experience Issues,0
162,Support & Service Issues,0
162,Localization Issues,0
166,Listening Related Issues,1
166,Coins Related Issues,1
166,Ads Related Issues,0
166,Content Discovery Issues,0
166,Content Quality Issues,0
166,User Experience Issues,0
166,Support & Service Issues,0
166,Localization Issues,0
169,Listening Related Issues,3
169,Ads Related Issues,0
169,Coins Related Issues,0
169,Content Discovery Issues,0
169,Content Quality Issues,0
169,User Experience Issues,0
169,Support & Service Issues,0
169,Localization Issues,0
170,Coins Related Issues,1
170,Content Quality Issues,1
170,Ads Related Issues,0
170,Content Discovery Issues,0
170,Listening Related Issues,0
170,User Experience Issues,0
170,Support & Service Issues,0
170,Localization Issues,0
171,Listening Related Issues,1
171,User Experience Issues,2
171,Ads Related Issues,1
171,Coins Related Issues,0
171,Content Discovery Issues,0
171,Content Quality Issues,0
171,Support & Service Issues,0
171,Localization Issues,0
172,Support & Service Issues,1
172,Ads Related Issues,0
172,Coins Related Issues,0
172,Content Discovery Issues,0
172,Listening Related Issues,0
172,Content Quality Issues,0
172,User Experience Issues,0
172,Localization Issues,0
176,Coins Related Issues,1
176,Support & Service Issues,1
176,Ads Related Issues,0
176,Content Discovery Issues,0
176,Listening Related Issues,0
176,Content Quality Issues,0
176,User Experience Issues,0
176,Localization Issues,0
178,Listening Related Issues,1
178,Coins Related Issues,1
178,Ads Related Issues,0
178,Content Discovery Issues,0
178,Content Quality Issues,0
178,User Experience Issues,0
178,Support & Service Issues,0
178,Localization Issues,0
179,User Experience Issues,1
179,Support & Service Issues,1
179,Ads Related Issues,0
179,Coins Related Issues,0
179,Content Discovery Issues,0
179,Listening Related Issues,0
179,Content Quality Issues,0
179,Localization Issues,0
181,Ads Related Issues,1
181,Coins Related Issues,0
181,Content Discovery Issues,0
181,Listening Related Issues,0
181,Content Quality Issues,0
181,User Experience Issues,0
181,Support & Service Issues,0
181,Localization Issues,0
182,Ads Related Issues,1
182,Coins Related Issues,2
182,Content Discovery Issues,0
182,Listening Related Issues,0
182,Content Quality Issues,0
182,User Experience Issues,0
182,Support & Service Issues,0
182,Localization Issues,0
183,Coins Related Issues,1
183,Ads Related Issues,0
183,Content Discovery Issues,0
183,Listening Related Issues,0
183,Content Quality Issues,0
183,User Experience Issues,0
183,Support & Service Issues,0
183,Localization Issues,0
184,Content Quality Issues,1
184,Ads Related Issues,0
184,Coins Related Issues,0
184,Content Discovery Issues,0
184,Listening Related Issues,0
184,User Experience Issues,0
184,Support & Service Issues,0
184,Localization Issues,0
185,Content Quality Issues,1
185,Ads Related Issues,0
185,Coins Related Issues,0
185,Content Discovery Issues,0
185,Listening Related Issues,0
185,User Experience Issues,0
185,Support & Service Issues,0
185,Localization Issues,0
188,Listening Related Issues,1
188,Ads Related Issues,0
188,Coins Related Issues,0
188,Content Discovery Issues,0
188,Content Quality Issues,0
188,User Experience Issues,0
188,Support & Service Issues,0
188,Localization Issues,0
189,Coins Related Issues,1
189,Ads Related Issues,0
189,Content Discovery Issues,0
189,Listening Related Issues,0
189,Content Quality Issues,0
189,User Experience Issues,0
189,Support & Service Issues,0
189,Localization Issues,0
196,Coins Related Issues,1
196,Ads Related Issues,0
196,Content Discovery Issues,0
196,Listening Related Issues,0
196,Content Quality Issues,0
196,User Experience Issues,0
196,Support & Service Issues,0
196,Localization Issues,0
197,Listening Related Issues,1
197,Support & Service Issues,1
197,Ads Related Issues,0
197,Coins Related Issues,0
197,Content Discovery Issues,0
197,Content Quality Issues,0
197,User Experience Issues,0
197,Localization Issues,0
200,Coins Related Issues,1
200,Ads Related Issues,0
200,Content Discovery Issues,0
200,Listening Related Issues,0
200,Content Quality Issues,0
200,User Experience Issues,0
200,Support & Service Issues,0
200,Localization Issues,0
201,Ads Related Issues,1
201,Coins Related Issues,1
